,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
59,Ecuador ,AMÉRICA LATINA,13547510,283560,47.8,-8.58,23.66,3300.0,92.5,125.6,22.29,4.23
60,Egypt ,ÁFRICA,78887007,1001450,78.8,-0.22,32.59,4000.0,57.7,131.8,22.94,5.23
61,El Salvador ,AMÉRICA LATINA,6822378,21040,324.3,-3.74,25.1,4800.0,80.2,142.4,26.61,5.78
62,Equatorial Guinea ,ÁFRICA,540109,28051,19.3,0.0,85.13,2700.0,85.7,18.5,35.59,15.06
63,Eritrea ,ÁFRICA,4786994,121320,39.5,0.0,74.87,700.0,58.6,7.9,34.33,9.6
64,Estonia ,PAÍSES BÁLTICOS,1324333,45226,29.3,-3.16,7.87,12300.0,99.8,333.8,10.04,13.25
65,Ethiopia ,ÁFRICA,74777981,1127127,66.3,0.0,95.32,700.0,42.7,8.2,37.98,14.86
67,Fiji ,OCEANIA,905949,18270,49.6,-3.14,12.62,5800.0,93.7,112.6,22.55,5.65
68,Finland ,EUROPA OCIDENTAL,5231372,338145,15.5,0.95,3.57,27400.0,100.0,405.3,10.45,9.86
69,France ,EUROPA OCIDENTAL,60876136,547030,111.3,0.66,4.26,27600.0,99.0,586.4,11.99,9.14
70,French Guiana ,AMÉRICA LATINA,199509,91000,2.2,6.27,12.07,8300.0,83.0,255.6,20.46,4.88
71,French Polynesia ,OCEANIA,274578,4167,65.9,2.94,8.44,17500.0,98.0,194.5,16.68,4.69
72,Gabon ,ÁFRICA,1424906,267667,5.3,0.0,53.64,5500.0,63.2,27.4,36.16,12.25
73,"Gambia, The ",ÁFRICA,1641564,11300,145.3,1.57,72.02,1700.0,40.1,26.8,39.37,12.25
75,Georgia ,EURÀSIA,4661473,69700,66.9,-4.7,18.59,2500.0,99.0,146.6,10.41,9.23
76,Germany ,EUROPA OCIDENTAL,82422299,357021,230.9,2.18,4.16,27600.0,99.0,667.9,8.25,10.62
77,Ghana ,ÁFRICA,22409572,239460,93.6,-0.64,51.43,2200.0,74.8,14.4,30.52,9.72
79,Greece ,EUROPA OCIDENTAL,10688058,131940,81.0,2.35,5.53,20000.0,97.5,589.7,9.68,10.24
81,Grenada ,AMÉRICA LATINA,89703,344,260.8,-13.92,14.62,5000.0,98.0,364.5,22.08,6.88
82,Guadeloupe ,AMÉRICA LATINA,452776,1780,254.4,-0.15,8.6,8000.0,90.0,463.8,15.05,6.09
83,Guam ,OCEANIA,171019,541,316.1,0.0,6.94,21000.0,99.0,492.0,18.79,4.48
84,Guatemala ,AMÉRICA LATINA,12293545,108890,112.9,-1.67,35.93,4100.0,70.6,92.1,29.88,5.2
86,Guinea ,ÁFRICA,9690222,245857,39.4,-3.06,90.37,2100.0,35.9,2.7,41.76,15.48
87,Guinea-Bissau ,ÁFRICA,1442029,36120,39.9,-1.57,107.17,800.0,42.4,7.4,37.22,16.53
88,Guyana ,AMÉRICA LATINA,767245,214970,3.6,-2.07,33.26,4000.0,98.8,143.5,18.28,8.28
89,Haiti ,AMÉRICA LATINA,8308504,27750,299.4,-3.4,73.45,1600.0,52.9,16.9,36.44,12.17
90,Honduras ,AMÉRICA LATINA,7326496,112090,65.4,-1.99,29.32,2600.0,76.2,67.5,28.24,5.28
91,Hong Kong ,ÁSIA,6940432,1092,6355.7,5.24,2.97,28800.0,93.5,546.7,7.29,6.29
92,Hungary ,EUROPA ORIENTAL,9981334,93030,107.3,0.86,8.57,13900.0,99.4,336.2,9.72,13.11
93,Iceland ,EUROPA OCIDENTAL,299388,103000,2.9,2.38,3.31,30900.0,99.9,647.7,13.64,6.72
94,India ,ÁSIA,1095351995,3287590,333.2,-0.07,56.29,2900.0,59.5,45.4,22.01,8.18
95,Indonesia ,ÁSIA,245452739,1919440,127.9,0.0,35.6,3200.0,87.9,52.0,20.34,6.25
96,Iran ,ÁSIA,68688433,1648000,41.7,-0.84,41.58,7000.0,79.4,276.4,17.0,5.55
97,Iraq ,ORIENTE MÉDIO,26783383,437072,61.3,0.0,50.25,1500.0,40.4,38.6,31.98,5.37
98,Ireland ,EUROPA OCIDENTAL,4062235,70280,57.8,4.99,5.39,29600.0,98.0,500.5,14.45,7.82
100,Israel ,ORIENTE MÉDIO,6352117,20770,305.8,0.68,7.03,19800.0,95.4,462.3,17.97,6.18
101,Italy ,EUROPA OCIDENTAL,58133509,301230,193.0,2.07,5.94,26700.0,98.6,430.9,8.72,10.4
102,Jamaica ,AMÉRICA LATINA,2758124,10991,250.9,-4.92,12.36,3900.0,87.9,124.0,20.82,6.52
103,Japan ,ÁSIA,127463611,377835,337.4,0.0,3.26,28200.0,99.0,461.2,9.37,9.16
105,Jordan ,ORIENTE MÉDIO,5906760,92300,64.0,6.59,17.35,4300.0,91.3,104.5,21.25,2.65
106,Kazakhstan ,EURÀSIA,15233244,2717300,5.6,-3.35,29.21,6300.0,98.4,164.1,16.0,9.42
107,Kenya ,ÁFRICA,34707817,582650,59.6,-0.1,61.47,1000.0,85.1,8.1,39.72,14.02
109,"Korea, North ",ÁSIA,23113019,120540,191.8,0.0,24.04,1300.0,99.0,42.4,15.54,7.13
110,"Korea, South ",ÁSIA,48846823,98480,496.0,0.0,7.05,17800.0,97.9,486.1,10.0,5.85
111,Kuwait ,ORIENTE MÉDIO,2418393,17820,135.7,14.18,9.95,19000.0,83.5,211.0,21.94,2.41
112,Kyrgyzstan ,EURÀSIA,5213898,198500,26.3,-2.45,35.64,1600.0,97.0,84.0,22.8,7.08
113,Laos ,ÁSIA,6368481,236800,26.9,0.0,85.22,1700.0,66.4,14.1,35.49,11.55
114,Latvia ,PAÍSES BÁLTICOS,2274735,64589,35.2,-2.23,9.55,10200.0,99.8,321.4,9.24,13.66
